nomination_id,source,signature,via,leverage,codex_verdict,codex_notes
NOM-001,transitivity,grade le C,via cap,0.337,trivial,"graph-local scalar closure; no typed endpoint obligation or PDE object"
NOM-002,transitivity,residual le C,via cap,0.312,trivial,"graph-local scalar closure; cap-style bound already accounted for in ledger structure"
NOM-003,transitivity,E le C,via cycleProfit,0.268,trivial,"single-letter graph quantity path; not a Lean-facing closure target"
NOM-004,transitivity,C le E,via L,0.268,trivial,"single-letter graph quantity path; no actionable typed theorem"
NOM-005,transitivity,C le B,"via L, leraySelfTaxLimitPrice",0.257,trivial,"single-letter graph quantity path; not endpoint-exposed"
NOM-006,transitivity,transportDefect le C,via cap,0.241,trivial,"local constraint-basin shortcut; no new PDE duty or receipt field"
NOM-007,transitivity,localQuadratic le C,via cap,0.241,trivial,"local constraint-basin shortcut; no new PDE duty or receipt field"
NOM-008,transitivity,advectedPressure le C,via cap,0.241,trivial,"local constraint-basin shortcut; no new PDE duty or receipt field"
NOM-009,transitivity,reserve le C,via cap,0.232,trivial,"generic reserve scalar shortcut; not typed to final receipt"
NOM-010,transitivity,higherFeedback le C,via cap,0.223,trivial,"local scalar shortcut; no closure value without a source receipt"
NOM-011,gemini_standard,"theorem three_profile_assembly_bound (p : TriProfile) : threeProfileAssembledTax p ≤ branchA p + branchB p + mixedC p + crossAB p + crossAC p + crossBC p + threeProfilePositiveCoherencePrice p",,,wrong,"unresolved invented type/fields; concept overlaps known three-profile accounting but not Lean-writable"
NOM-012,gemini_standard,"theorem shell_viscosity_bound (n : ℕ) (u : VelocityField) : shell n u ≤ nu * R.shellN n u",,,already_considered,"viscosity-shell relation already lives in low-high reserve/phase-latency receipts; proposed type is invented"
NOM-013,gemini_standard,"theorem leray_self_tax_limit_bound (u : VelocityField) : leraySelfTaxLimitPrice u ≤ sharpTarget u + B.gamma u",,,wrong,"wrong object shape; sharpTarget is a scalar constant and shortcut is refuted by existing zero-stream/triangulation guard"
NOM-014,claude_standard,"theorem threeProfileAssembledTax_le_leraySelfTaxLimitPrice (B : Profile) : threeProfileAssembledTax B.branchA B.branchB B.mixedC B.crossAB B.crossAC B.crossBC ≤ leraySelfTaxLimitPrice",,,wrong,"unresolved invented Profile/fields and truncated target; not endpoint-typed"
NOM-015,claude_standard,"theorem coreFloor_le_epsilon_mul_shell (nu epsilon : ℝ) (hnu : 0 < nu) (hε : 0 < epsilon) : coreFloor nu epsilon ≤ epsilon * shell nu",,,wrong,"unresolved symbols and dimensionally unsupported direct epsilon-shell inequality"
NOM-016,claude_standard,"theorem gap_le_pricingSumSquares_of_sumSquares (xs : Fin n → ℝ) : gap xs ≤ pricingSumSquares xs ∧ pricingSumSquares xs ≤ sumSquares xs",,,wrong,"pricingSumSquares exists for List Real but proposed Fin/gap/sumSquares theorem is untyped and not a closure obligation"
NOM-017,gemini_novelty_prompted,"theorem shell_bounded_positive_coherence {p : Profile} {n : ℕ} : threeProfilePositiveCoherencePrice p ≤ R.shellN p n * B.gamma",,,wrong,"unresolved Profile/R/B objects; no typed endpoint route"
NOM-018,gemini_novelty_prompted,"theorem damping_controls_pricing_variance {s : System} : pricingSumSquares s ≤ R.dampingRate s * leraySelfTaxLimitPrice s",,,wrong,"unresolved System/R objects; direct damping-to-SOS relation not supported by current typed spine"
NOM-019,gemini_novelty_prompted,"theorem sharpTarget_bounds_tax_margin {t : Target} {r : Receipt} : A.taxMargin r ≤ sharpTarget t + gap",,,wrong,"invented Target/Receipt/A objects; generic tax-margin shortcut is not source-guarded"
NOM-020,claude_novelty_prompted,"theorem viscosity_sharpTarget_lipschitz (R : ShellRegime) (hR : R.viscosity > 0) : |sharpTarget R - sharpTarget R'| ≤ (C / R.viscosity) * dist R R'",,,wrong,"sharpTarget is not a function of ShellRegime in the Lean spine; invented R' and constants"
NOM-021,claude_novelty_prompted,"theorem selfTax_pricingSumSquares_bridge (B : BranchData) : pricingSumSquares B ≤ B.selfTax * (1 + B.gamma)",,,already_considered,"maps to existing SOS/self-tax pricing-kernel route; proposed BranchData shape is invented"
NOM-022,claude_novelty_prompted,"theorem nu_assembledTax_lower (h : nu > 0) : threeProfileAssembledTax ≥ nu * (branchA + branchB + mixedC) - crossAB - crossAC - crossBC",,,wrong,"unresolved symbols and unsupported orientation; no source/provenance guard"
